Uniq Id,Job Salary,Job Experience Required,Key Skills,Industry,Role
1, Not Disclosed by Recruiter ,2 - 5 yrs, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,"IT-Software, Software Services",DBA
2, Not Disclosed by Recruiter ,0 - 1 yrs, MS Office| Data entry,"Strategy, Management Consulting Firms",Associate/Senior Associate -(NonTechnical)
3, Not Disclosed by Recruiter ,2 - 6 yrs, hive| apache| itil process| hadoop| big data| aws| core java,"IT-Software, Software Services",Software Developer
4, Not Disclosed by Recruiter ,5 - 10 yrs, Unix| data science| SQL| Linux| SAS| HTML| Perl| SDLC| Android| Python,"Medical, Healthcare, Hospitals",Software Developer
5," 2,75,000 - 7,00,000 PA. ",2 - 7 yrs, Reporting| Data Analysis| Business Analytics| Data Analytics| kpo,"KPO, Research, Analytics",Data Analyst
6," 1,25,000 - 3,75,000 PA. ",0 - 3 yrs, back office processing| BPO| part time| data entry| computer operator| backend| non voice| chat process| account| marketing| inbound process,"BPO, Call Centre, ITeS",Fresher
7, Not Disclosed by Recruiter ,2 - 6 yrs, SQL| NoSQL| R| Python| Scala| Data Visualization| Machine Learning| Data Science| Data Modeling| Algorithm,"IT-Software, Software Services",Data Analyst
8, Not Disclosed by Recruiter ,5 - 10 yrs, Java| SOA| TDD| SaaS| J2EE| Spring Boot| API| Algorithm| Data Structure,"IT-Software, Software Services",Team Lead/Technical Lead
9, Not Disclosed by Recruiter ,10 - 15 yrs, Technical Management| Agile Methodology| Unit Testing| Design Development| Business Analytics| Big Data| SQL Queries| Spark| Performance Tuning| Test Case Design,"IT-Software, Software Services",Software Developer
10, Not Disclosed by Recruiter ,0 - 3 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,"Strategy, Management Consulting Firms",Associate/Senior Associate -(NonTechnical)
11, Not Disclosed by Recruiter ,2 - 5 yrs, Service level| operational support| Financial reporting| project support| Helpdesk| Issue resolution| Risk management| Operations| Project life cycle| Downstream,"Banking, Financial Services, Broking",Associate/Senior Associate -(NonTechnical)
12," 90,000 - 1,25,000 PA. ",0 - 2 yrs, data entry| data entry operators| computer operator| office assistant| back office| clerical work| cts| banking| fresher| B.com,"Banking, Financial Services, Broking",Stenographer/Data Entry Operator
13, Not Disclosed by Recruiter ,3 - 6 yrs, SSIS| SSRS| Technical Training| Data Management| SQL| software development,"IT-Software, Software Services",Software Developer
14, Not Disclosed by Recruiter ,3 - 5 yrs, Unix| Maven| Automation| Linux| Data modeling| Infrastructure management| Agile| Application development| Apache| Information technology,"IT-Software, Software Services",Software Developer
15," 1,50,000 - 2,00,000 PA. ",0 - 2 yrs, data entry operation| organization skills| us healthcare| Data Entry| ms office| typing speed,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
16, Not Disclosed by Recruiter ,0 - 3 yrs, Financial reporting| Analytical| Market intelligence| Accountancy| Data research| Finance| Internet searching| Credit risk| MS Office,"IT-Software, Software Services",Financial Analyst
17, Not Disclosed by Recruiter ,2 - 7 yrs, Linux| Python| Coding| Open source| Machine learning| big data| Basic| spark| hdfs| SCALA,"IT-Software, Software Services",Administration Services/Medical Facilities
18, Not Disclosed by Recruiter ,3 - 5 yrs, development| junit| java| apache| jboss| tomcat| product development| mysql| eclipse,"IT-Software, Software Services",Technical Architect
19, Not Disclosed by Recruiter ,0 - 1 yrs, Data Analysis| Data Analyst| reporting| Quality Control,"Recruitment, Staffing",Data Analyst
20," 2,25,000 - 5,00,000 PA. ",0 - 5 yrs, Data Entry Operation| Computer Operating| Data Management| data analysis| Data Entry| computer operator| back office| non voice| backend| kpo,"BPO, Call Centre, ITeS",Fresher
21, Not Disclosed by Recruiter ,9 - 14 yrs, Java| Open Source| Scala| Big Data| Spark| Performance Tuning| Python,"IT-Software, Software Services",Software Developer
22, Not Disclosed by Recruiter ,7 - 10 yrs, Python| Machine learning| Forecasting| Text mining| Neural networks| Natural language processing| text analytics| Logistic regression| advanced analytics| deep learning,"IT-Software, Software Services",Team Lead/Technical Lead
23, Not Disclosed by Recruiter ,2 - 7 yrs, SAS| MIS| Financial services| Automation| Analytical| Cognos| Business strategy| Information management| Information technology| Data extraction,"Banking, Financial Services, Broking",Software Developer
24," 1,00,000 - 6,00,000 PA. ",5 - 10 yrs, Interfaces| idocs| sap mm| problem solving,"IT-Software, Software Services",Functional Outside Consultant
25, Not Disclosed by Recruiter ,4 - 9 yrs, spark| sql| big data| unix| data visualization| tableau| hadoop| python| hive,"IT-Software, Software Services",Other
26, Not Disclosed by Recruiter ,8 - 10 yrs, IT services| Automation| data governance| Team Leader| Financial services,"IT-Software, Software Services",Team Lead/Technical Lead
27, Not Disclosed by Recruiter ,1 - 6 yrs, Monitoring| Social networking| Data research,"IT-Software, Software Services",Sales/Business Development Manager
28," 1,50,000 - 2,75,000 PA. ",0 - 1 yrs, Data Entry| Computer Operating| Calling| customer care| customer support| customer service| customer service executive| customer support executive| Domestic BPO| call center executive| customer care executive| customer care officer| customer support officer,"BPO, Call Centre, ITeS",Fresher
29, Not Disclosed by Recruiter ,5 - 6 yrs, Python| Business intelligence| Coding| Computer science| Machine learning| Hbase| MongoDb| NoSQL| Cassandra| Operations,"Media, Entertainment, Internet",Team Lead/Technical Lead
30, Not Disclosed by Recruiter ,5 - 7 yrs, Analytics| Monitoring| SQL| Computer science| Process automation| Automation| Assurance| Analytical| Predictive modeling| Business solutions,Insurance,Team Lead/Technical Lead
31," 2,00,000 - 3,00,000 PA. ",1 - 6 yrs, database development| MySQL Db| mysql database| Stored Procedures| triggers| functions,"Retail, Wholesale",DBA
32," INR 5,00,000 - 15,00,000 PA.", 2 - 6 Years,Java|Hadoop|Python|C++|Spark|Machine Learning|NoSQL|Oozie|Big Data|Languages,IT-Software / Software Services,Data Analyst
33, Not Disclosed by Recruiter ,12 - 17 yrs, SQL| Configuration management| Disaster recovery| Data architecture| TOGAF| Business continuity| HBase| PAAS| Architecture| Archiving,"IT-Software, Software Services",Technical Architect
34, Not Disclosed by Recruiter ,3 - 6 yrs, production support| build automation| dba| performance tuning| sybase iq| redhat linux| perl| database administration| unix,"IT-Software, Software Services",DBA
35, Not Disclosed by Recruiter ,2 - 5 yrs, Tableau| SAS| R| Python| Spark| Machine Learning| RDBMS| SQL| Hadoop| Startup| Big Data,"IT-Software, Software Services",Software Developer
36, Not Disclosed by Recruiter ,3 - 6 yrs, SQL| Application support| Incident management| Service management| Operations| Informatica| Support services| Teradata| Service level| Back office support,"Recruitment, Staffing",Outside Technical Consultant
37, Not Disclosed by Recruiter ,3 - 8 yrs, Computer science| Data analysis| Analytical| Machine learning| Tools| Data mining| MATLAB| Monitoring| Analytics| Python,"KPO, Research, Analytics",Research Scientist
38," 1,75,000 - 3,00,000 PA. ",0 - 1 yrs, international bpo| cce| calling| backend| technical support| data entry| computer operator| Field Executive| Chat Process| Email Support| Fresher,"BPO, Call Centre, ITeS",Telecalling/Telemarketing Executive
39, Not Disclosed by Recruiter ,6 - 11 yrs, MDM| Metadata| Master Data Management| Edw| Data Governance,"IT-Software, Software Services",Database Architect/Designer
40, Not Disclosed by Recruiter ,7 - 12 yrs, Oracle DBA| DBA| Production Support| Technical Consultant| Oracle RAC,"IT-Software, Software Services",Software Developer
41, Not Disclosed by Recruiter ,4 - 6 yrs, statistical modeling| data analytics| data visualization| fraud analytics| business intelligence| communication skills| excel| advanced excel,"BPO, Call Centre, ITeS",Analytics Manager
42, Not Disclosed by Recruiter ,5 - 10 yrs, Network Administration| Datacenter| WLAN| Project Management| OSPF| BGP| MPLS| EIGRP| FCOE| LACP,"IT-Software, Software Services",Network Administrator
43," 1,25,000 - 2,75,000 PA. ",0 - 1 yrs, BPO| Calling| Data Entry| bpo fresher| data entry operator| dataentry operator| Call Center| International BPO,"BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical)
44, Not Disclosed by Recruiter, 3 - 7 Years,datapower|ibm datapower|ibm websphere,IT-Software / Software Services,Software Developer
45, Not Disclosed by Recruiter ,4 - 9 yrs, DBA| RDBMS| Windows Server| Data Modeling| DBMS| Performance Tuning| SQL| Performance Monitoring,"Semiconductors, Electronics",DBA
46," 5,00,000 - 15,00,000 PA. ",6 - 9 yrs, Power Bi| Data Modeling| Database Development| SQL,"IT-Software, Software Services",Software Developer
47, Not Disclosed by Recruiter ,3 - 5 yrs, Networking| MIS| Information security| SIEM| Database| Data analytics| big data| IPS| Security monitoring,IT-Hardware & Networking,Administration Services/Medical Facilities
48, Not Disclosed by Recruiter ,10 - 20 yrs, Data Architect| Data Management| Big Data| Data Visualization| Data Warehousing| Data Analytics| Machine Learning| Analytics| SQL,"IT-Software, Software Services",Technical Architect
49," 2,00,000 - 5,00,000 PA. ",0 - 5 yrs, bpo| freelancing| freelance writing| data mining| data processing| notepad| administration work| kpo| part time| data entry operation| excel| data extraction| typing| content writing| non voice| data entry,"Recruitment, Staffing",Fresher
